ID	Label	Type	Parent
ID	LABEL	TYPE	C %
BFO:0000051	has part	owl:ObjectProperty	
RO:0002162	in taxon	owl:ObjectProperty	
RO:0002215	capable of	owl:ObjectProperty	
RO:0002104	has plasma membrane part	owl:ObjectProperty	
http://purl.obolibrary.org/obo/cl#lacks_part	lacks part	owl:ObjectProperty	
NCBITaxon:2759	Eukaryota	owl:Class	
NCBITaxon:33208	Metazoa	owl:Class	Eukaryota
NCBITaxon:9606	Homo sapiens	owl:Class	Metazoa
NCBITaxon:10090	Mus musculus	owl:Class	Metazoa
GO:0008150	biological process	owl:Class	
GO:0002456	T cell mediated immunity	owl:Class	biological process
GO:0001667	ameboidal-type cell migration	owl:Class	biological process
GO:0044464	cell part	owl:Class	
GO:0030141	secretory granule	owl:Class	cell part
CP:0000000	neutrophillic cytoplasm	owl:Class	cell part
CP:0000037	increased nucleus size	owl:Class	cell part
GO:0000792	heterochromatin	owl:Class	cell part
GO:0042105	alpha-beta T cell receptor complex	owl:Class	cell part
